,word,type,cefr,phon_br,phon_n_am,definition,example,uk,us
573,diminish,verb,c1,/dɪˈmɪnɪʃ/,/dɪˈmɪnɪʃ/,"to become smaller, weaker, etc.; to make something become smaller, weaker, etc.",The world's resources are rapidly diminishing.,diminish_uk.mp3,diminish_us.mp3
574,dip,verb,c1,/dɪp/,/dɪp/,to put something quickly into a liquid and take it out again,"dip something (into something), He dipped the brush into the paint.",dip_uk.mp3,dip_us.mp3
575,diplomat,noun,c1,/ˈdɪpləmæt/,/ˈdɪpləmæt/,"a person whose job is to represent his or her country in a foreign country, for example, in an embassy",Washington's top diplomat in Havana,diplomat_uk.mp3,diplomat_us.mp3
576,diplomatic,adjective,c1,/ˌdɪpləˈmætɪk/,/ˌdɪpləˈmætɪk/,connected with managing relations between countries (= diplomacy),a diplomatic crisis,diplomatic_uk.mp3,diplomatic_us.mp3
577,directory,noun,c1,/dəˈrektəri/,/dəˈrektəri/,"a book or electronic resource containing lists of information, usually in alphabetical order, for example people’s phone numbers or the names and addresses of businesses in a particular area",a telephone/trade directory,directory_uk.mp3,directory_us.mp3
578,disability,noun,b2,/ˌdɪsəˈbɪləti/,/ˌdɪsəˈbɪləti/,a physical or mental condition that makes it difficult for somebody to do some things that most other people can do,a physical/developmental/intellectual disability,disability_uk.mp3,disability_us.mp3
579,disabled,adjective,b2,/dɪsˈeɪbld/,/dɪsˈeɪbld/,having a condition that makes it difficult for you to do some things that most other people can do,physically/developmentally/intellectually disabled,disabled_uk.mp3,disabled_us.mp3
580,disagreement,noun,b2,/ˌdɪsəˈɡriːmənt/,/ˌdɪsəˈɡriːmənt/,a situation where people have different opinions about something and often argue,"disagreement (about/on/over/as to something), Disagreement arose about exactly how to plan the show.",disagreement_uk.mp3,disagreement_us.mp3
581,disappoint,verb,b2,/ˌdɪsəˈpɔɪnt/,/ˌdɪsəˈpɔɪnt/,to make somebody feel sad because something that they hope for or expect to happen does not happen or is not as good as they hoped,"disappoint (somebody), Her decision to cancel the concert is bound to disappoint her fans.",disappoint_uk.mp3,disappoint_us.mp3
582,disappointment,noun,b2,/ˌdɪsəˈpɔɪntmənt/,/ˌdɪsəˈpɔɪntmənt/,"the feeling of being sad because something has not happened or been as good, successful, etc. as you expected or hoped",Book early for the show to avoid disappointment.,disappointment_uk.mp3,disappointment_us.mp3
583,disastrous,adjective,c1,/dɪˈzɑːstrəs/,/dɪˈzæstrəs/,"very bad, harmful or unsuccessful",a disastrous harvest/fire/result,disastrous_uk.mp3,disastrous_us.mp3
584,discard,verb,c1,/dɪˈskɑːd/,/dɪˈskɑːrd/,to get rid of something that you no longer want or need,"discard somebody/something, The room was littered with discarded newspapers.",discard_uk.mp3,discard_us.mp3
585,discharge,verb,c1,/dɪsˈtʃɑːdʒ/,/dɪsˈtʃɑːrdʒ/,to give somebody official permission to leave the police or the armed forces; to make somebody leave the police or the armed forces,"be discharged from something, He was discharged from the army following his injury.",discharge_uk.mp3,discharge_us.mp3
586,disclose,verb,c1,/dɪsˈkləʊz/,/dɪsˈkləʊz/,"to give somebody information about something, especially something that was previously secret","disclose something (to somebody), The spokesman refused to disclose details of the takeover to the press.",disclose_uk.mp3,disclose_us.mp3
587,disclosure,noun,c1,/dɪsˈkləʊʒə(r)/,/dɪsˈkləʊʒər/,the act of making something known or public that was previously secret or private,the newspaper’s disclosure of defence secrets,disclosure_uk.mp3,disclosure_us.mp3
588,discourage,verb,b2,/dɪsˈkʌrɪdʒ/,/dɪsˈkɜːrɪdʒ/,"to try to prevent something or to prevent somebody from doing something, especially by making it difficult to do or by showing that you do not approve of it","discourage (doing) something, a campaign to discourage smoking among teenagers",discourage_uk.mp3,discourage_us.mp3
589,discourse,noun,c1,/ˈdɪskɔːs/,/ˈdɪskɔːrs/,a long and serious treatment or discussion of a subject in speech or writing,"discourse on something, a discourse on issues of gender and sexuality",discourse_uk.mp3,discourse_us.mp3
590,discretion,noun,c1,/dɪˈskreʃn/,/dɪˈskreʃn/,the freedom or power to decide what should be done in a particular situation,I'll leave it up to you to use your discretion.,discretion_uk.mp3,discretion_us.mp3
591,discrimination,noun,c1,/dɪˌskrɪmɪˈneɪʃn/,/dɪˌskrɪmɪˈneɪʃn/,the practice of treating somebody or a particular group in society less fairly than others,"age/racial/gender/sex discrimination (= because of somebody’s age, race or sex)",discrimination_uk.mp3,discrimination_us.mp3
592,dismissal,noun,c1,/dɪsˈmɪsl/,/dɪsˈmɪsl/,the act of dismissing somebody from their job; an example of this,He still hopes to win his claim against unfair dismissal.,dismissal_uk.mp3,dismissal_us.mp3
593,disorder,noun,b2,/dɪsˈɔːdə(r)/,/dɪsˈɔːrdər/,a condition or illness that causes problems with the way part of the body or brain works,a blood/bowel disorder,disorder_uk.mp3,disorder_us.mp3
594,displace,verb,c1,/dɪsˈpleɪs/,/dɪsˈpleɪs/,to take the place of somebody/something,"be displaced (by somebody/something), Gradually factory workers have been displaced by machines.",displace_uk.mp3,displace_us.mp3
595,disposal,noun,c1,/dɪˈspəʊzl/,/dɪˈspəʊzl/,the act of getting rid of something,The council is responsible for waste disposal and street cleaning.,disposal_uk.mp3,disposal_us.mp3
596,dispose,verb,c1,/dɪˈspəʊz/,/dɪˈspəʊz/,to arrange things or people in a particular way or position,The visitors disposed themselves in a circle round the statue.,dispose_uk.mp3,dispose_us.mp3
597,dispute,noun,c1,/dɪˈspjuːt/,/dɪˈspjuːt/,"an argument between two people, groups or countries; discussion about a subject on which people disagree",industrial/pay disputes,dispute_uk.mp3,dispute_us.mp3
598,dispute,verb,c1,/dɪˈspjuːt/,/dɪˈspjuːt/,to question whether something is true or legally or officially acceptable,"dispute something, These figures have been disputed.",dispute_uk.mp3,dispute_us.mp3
599,disrupt,verb,c1,/dɪsˈrʌpt/,/dɪsˈrʌpt/,to make it difficult for something to continue in the normal way,Demonstrators succeeded in disrupting the meeting.,disrupt_uk.mp3,disrupt_us.mp3
600,disruption,noun,c1,/dɪsˈrʌpʃn/,/dɪsˈrʌpʃn/,a situation in which it is difficult for something to continue in the normal way; the act of stopping something from continuing in the normal way,We aim to help you move house with minimum disruption to yourself.,disruption_uk.mp3,disruption_us.mp3
601,dissolve,verb,c1,/dɪˈzɒlv/,/dɪˈzɑːlv/,to mix with a liquid and become part of it,Salt dissolves in water.,dissolve_uk.mp3,dissolve_us.mp3
602,distant,adjective,b2,/ˈdɪstənt/,/ˈdɪstənt/,far away in space or time,the distant sound of music,distant_uk.mp3,distant_us.mp3
603,distinct,adjective,b2,/dɪˈstɪŋkt/,/dɪˈstɪŋkt/,"easily or clearly heard, seen, felt, etc.",There was a distinct smell of gas.,distinct_uk.mp3,distinct_us.mp3
604,distinction,noun,c1,/dɪˈstɪŋkʃn/,/dɪˈstɪŋkʃn/,a clear difference or contrast especially between people or things that are similar or related,distinctions between traditional and modern societies,distinction_uk.mp3,distinction_us.mp3
605,distinctive,adjective,c1,/dɪˈstɪŋktɪv/,/dɪˈstɪŋktɪv/,having a quality or characteristic that makes something different and easily noticed,clothes with a distinctive style,distinctive_uk.mp3,distinctive_us.mp3
606,distinguish,verb,b2,/dɪˈstɪŋɡwɪʃ/,/dɪˈstɪŋɡwɪʃ/,to recognize the difference between two people or things,"distinguish between A and B, At what age are children able to distinguish between right and wrong?",distinguish_uk.mp3,distinguish_us.mp3
607,distort,verb,c1,/dɪˈstɔːt/,/dɪˈstɔːrt/,"to change the shape, appearance or sound of something so that it is strange or not clear",a fairground mirror that distorts your shape,distort_uk.mp3,distort_us.mp3
608,distract,verb,b2,/dɪˈstrækt/,/dɪˈstrækt/,to take somebody’s attention away from what they are trying to do,You're distracting me from my work.,distract_uk.mp3,distract_us.mp3
609,distress,noun,c1,/dɪˈstres/,/dɪˈstres/,a feeling of great worry or unhappiness; great mental pain,The newspaper article caused the actor considerable distress.,distress_uk.mp3,distress_us.mp3
610,distress,verb,c1,/dɪˈstres/,/dɪˈstres/,to make somebody feel very worried or unhappy,"distress somebody, It was clear that the letter had deeply distressed her.",distress_uk.mp3,distress_us.mp3
611,disturb,verb,b2,/dɪˈstɜːb/,/dɪˈstɜːrb/,"to interrupt somebody when they are trying to work, sleep, etc.","I'm sorry to disturb you, but can I talk to you for a moment?",disturb_uk.mp3,disturb_us.mp3
612,disturbing,adjective,c1,/dɪˈstɜːbɪŋ/,/dɪˈstɜːrbɪŋ/,making you feel anxious and upset or shocked,a disturbing piece of news,disturbing_uk.mp3,disturbing_us.mp3
613,dive,noun,b2,/daɪv/,/daɪv/,a jump into deep water with your head first and your arms in front of you,a spectacular high dive (= from high above the water),dive_uk.mp3,dive_us.mp3
614,dive,verb,b2,/daɪv/,/daɪv/,to jump into water with your head and arms going in first,"dive (from/off something) (into something), We dived into the river to cool off.",dive_uk.mp3,dive_us.mp3
615,diverse,adjective,b2,/daɪˈvɜːs/,/daɪˈvɜːrs/,very different from each other and of various kinds,People from diverse cultures were invited to the event.,diverse_uk.mp3,diverse_us.mp3
616,diversity,noun,b2,/daɪˈvɜːsəti/,/daɪˈvɜːrsəti/,a range of many people or things that are very different from each other,the biological diversity of the rainforests,diversity_uk.mp3,diversity_us.mp3
617,divert,verb,c1,/daɪˈvɜːt/,/daɪˈvɜːrt/,to make somebody/something change direction,"be diverted, The course of the stream has now been diverted.",divert_uk.mp3,divert_us.mp3
618,divine,adjective,c1,/dɪˈvaɪn/,/dɪˈvaɪn/,coming from or connected with God or a god,divine law/love/will,divine_uk.mp3,divine_us.mp3
619,divorce,noun,b2,/dɪˈvɔːs/,/dɪˈvɔːrs/,the legal ending of a marriage,The marriage ended in divorce in 1996.,divorce_uk.mp3,divorce_us.mp3
620,divorce,verb,b2,/dɪˈvɔːs/,/dɪˈvɔːrs/,to end your marriage to somebody legally,They're getting divorced.,divorce_uk.mp3,divorce_us.mp3
621,doctrine,noun,c1,/ˈdɒktrɪn/,/ˈdɑːktrɪn/,"a belief or set of beliefs held and taught by a Church, a political party, etc.",the doctrine of parliamentary sovereignty,doctrine_uk.mp3,doctrine_us.mp3
622,documentation,noun,c1,/ˌdɒkjumenˈteɪʃn/,/ˌdɑːkjumenˈteɪʃn/,"the documents that are required for something, or that give evidence or proof of something",I couldn't enter the country because I didn't have all the necessary documentation.,documentation_uk.mp3,documentation_us.mp3
623,domain,noun,c1,/dəˈmeɪn/,/dəʊˈmeɪn/,an area of knowledge or activity; especially one that somebody is responsible for,Financial matters are her domain.,domain_uk.mp3,domain_us.mp3
624,dominance,noun,c1,/ˈdɒmɪnəns/,/ˈdɑːmɪnəns/,"the fact of being more important, powerful or easy to notice than somebody/something else",political/economic dominance,dominance_uk.mp3,dominance_us.mp3
625,dominant,adjective,b2,/ˈdɒmɪnənt/,/ˈdɑːmɪnənt/,"more important, powerful or easy to notice than other things",The firm has achieved a dominant position in the world market.,dominant_uk.mp3,dominant_us.mp3
626,donation,noun,b2,/dəʊˈneɪʃn/,/dəʊˈneɪʃn/,"something that is given to a person or an organization such as a charity, in order to help them; the act of giving something in this way",a generous/large/small donation,donation_uk.mp3,donation_us.mp3
627,donor,noun,c1,/ˈdəʊnə(r)/,/ˈdəʊnər/,"a person or an organization that makes a gift of money, clothes, food, etc. to a charity, etc.","international aid donors (= countries that give money, etc. to help other countries)",donor_uk.mp3,donor_us.mp3
628,dose,noun,c1,/dəʊs/,/dəʊs/,"an amount of a medicine or a drug that is taken once, or regularly over a period of time",a high/low/lethal dose,dose_uk.mp3,dose_us.mp3
629,dot,noun,b2,/dɒt/,/dɑːt/,"a small round mark, especially one that is printed",There are dots above the letters i and j.,dot_uk.mp3,dot_us.mp3
630,downtown,adjective,b2,/ˌdaʊnˈtaʊn/,/ˌdaʊnˈtaʊn/,"in, towards or typical of the centre of a city, especially its main business area",a downtown store,downtown_uk.mp3,downtown_us.mp3
631,downtown,adverb,b2,/ˌdaʊnˈtaʊn/,/ˌdaʊnˈtaʊn/,"in or towards the centre of a city, especially its main business area",to go/work downtown,downtown_uk.mp3,downtown_us.mp3
632,downtown,noun,b2,/ˌdaʊnˈtaʊn/,/ˌdaʊnˈtaʊn/,"the centre of a city, especially its main business area",a hotel in the heart of downtown,downtown_uk.mp3,downtown_us.mp3
633,drain,verb,c1,/dreɪn/,/dreɪn/,to make something empty or dry by removing the liquid from it; to become empty or dry in this way,Drain and rinse the pasta.,drain_uk.mp3,drain_us.mp3
634,dramatically,adverb,b2,/drəˈmætɪkli/,/drəˈmætɪkli/,very suddenly and to a very great and often surprising degree,Prices have fallen dramatically.,dramatically_uk.mp3,dramatically_us.mp3
635,drift,verb,c1,/drɪft/,/drɪft/,to move along smoothly and slowly in water or air,Clouds drifted across the sky.,drift_uk.mp3,drift_us.mp3
636,driving,adjective,c1,/ˈdraɪvɪŋ/,/ˈdraɪvɪŋ/,strong and powerful; having a strong influence in making something happen,Who was the driving force (= the person with the strongest influence) in the band?,driving_uk.mp3,driving_us.mp3
637,drought,noun,b2,/draʊt/,/draʊt/,a long period of time when there is little or no rain,Farmers are facing ruin after two years of severe drought.,drought_uk.mp3,drought_us.mp3
638,drown,verb,c1,/draʊn/,/draʊn/,to die because you have been underwater too long and you cannot breathe; to kill somebody by holding them underwater,Two children drowned after falling into the river.,drown_uk.mp3,drown_us.mp3
